Owner;Author's Last Name;Author's Name;Series;Order;Genre;Title;ISBN;Language;Type;Authors (other);Notes;Publisher;Ano;Original Language;Edição;;;;;;;;;;;;
Sérgio Lopes;Abercrombie;Joe;A Era da Loucura;1;;Um Pouco de Ódio;_9789895626281;Portuguese;Paperback;;;Kathartika;2024;English;;;;;;;;;;;;;
Sérgio Lopes;Abercrombie;Joe;A Era da Loucura;2;;O Problema da Paz;_9789895626489;Portuguese;Paperback;;;Kathartika;2025;English;;;;;;;;;;;;;
Sérgio Lopes;Ackerman;Elliot;;;;2034;_9781405966429;English;Paperback;Starvridis, (Admiral) James;;Penguin Random House;2021;;;;;;;;;;;;;;
Sérgio Lopes;Adams;Scott;;;Comics;Liberdade é só mais uma palavra para as pessoas descobrirem que és incompetente;_9789892315997;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Alderman;Naomi;;;;O Futuro;_9789895771592;Portuguese;Paperback;;;Cultura;2023;English;;;;;;;;;;;;;
Sérgio Lopes;Alves;Sabastião;;;;A Bússola e o Labirinto;_9789895772230;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Amado;Jorge;;;;O Gato Malhado e a Andorinha Sinhá: Uma História de Amor;_9721009512;Portuguese;Paperback;;;;;;6;;;;;;;;;;;;
Sérgio Lopes;Andersen;Sophia de Mello Breyner;;;;Histórias da Terra e do Mar;_9724701131;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Anderson;Kevin J.;The Saga of the Shadows;1;;The Dark Between the Stars;_9781840836784;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Andersson;Pedro;;;;Começa Já;_9789896664725;Portuguese;Paperback;;;Contraponto;2024;;;;;;;;;;;;;;
Sérgio Lopes;Angel;Lucy;;;;Oceânia;_9789897735431;Portuguese;Paperback;;;Saída de Emergência;2024;;1;;;;;;;;;;;;
Sérgio Lopes;Antunes;Mário;;;Tech, Non fiction;Introdução à Cibersegurança;_9789727229246;Portuguese;Paperback;Rodrigues, Baltazar;;FCA;2022;;2;;;;;;;;;;;;
Sérgio Lopes;Ashton;Edward;;;;Mickey 7;_9789892360300;Portuguese;Paperback;;;ASA II;2022;English;;;;;;;;;;;;;
Sérgio Lopes;Asimov;Isaac;Foundation;0;Sci-fi;Prelude to Foundation;_9780586071113;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Asimov;Isaac;Foundation;1;Sci-fi;Foundation;_9780586010808;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Asimov;Isaac;Foundation;2;Sci-fi;Foundation and Empire;_9780586013557;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Asimov;Isaac;Foundation;3;Sci-fi;Second Foundation;_9780586017135;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Asimov;Isaac;Foundation;4;Sci-fi;Foundation's Edge;_9780586058398;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Asimov;Isaac;Foundation;5;Sci-fi;Foundation & Earth;_9780586071106;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Asimov;Isaac;;;Sci-fi;The Gods Themselves;_9780575129054;English;Paperback;;SF Masterworks;Orion Publishing Group;2013;;;;;;;;;;;;;;
Sérgio Lopes;Bara;Dave;The Lightship Chronicles;1;Sci-fi;Impulse;_9780756410667;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Bara;Dave;The Lightship Chronicles;2;Sci-fi;Starbound;_9781473616110;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Bara;Dave;The Lightship Chronicles;3;Sci-fi;Defiant;_9780756409982;English;Hardcover;;;Daw Books;2017;;;;;;;;;;;;;;
Sérgio Lopes;Bardugo;Leigh;;;;Shadow and Bone;_9789892324852;Portuguese;Paperback;;;ASA II;2022;;;;;;;;;;;;;;
Sérgio Lopes;Bardugo;Leigh;;;;Mulher-Maravilha, Dama da Guerra;_9789898869265;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Barnes;J. S.;;;;The City of Dr. Moreau;_9781789095821;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Baxter;Sephen;;;Sci-fi;Ultima;_9780575116894;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Bennett;Caroline;;;;500 Sushi, The only sushi compendium you'll ever need;_9781845434779;English;Hardcover;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Bernhard;Manuel;;;;Reactive Web Applications;_9781633430099;English;Paperback;;;;;;;;;;;;;;;;;;
Miguel Grilo;Berrios;Frank;;;Children's Books;Patrulha Pata, o Superfilme;_9789897848889;Portuguese;Hardcover;MJ Illustrations;;Penguin Random House;2023;English;;;;;;;;;;;;;
Sérgio Lopes;Blake;Kendare;;;;Dois Reinos Negros;_9789720033055;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Bkake;Oliver;;1;;The Atlas Six;_9781529095258;English;Paperback;;;TOR;2022;;;;;;;;;;;;;;
Sérgio Lopes;Blanton;Bob;Delphi in Space;1;Sci-fi;Starship Sakira;_9781705853412;English;Paperback;;;Delphi Publishing;2019;;;;;;;;;;;;;;
